Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R14        SMD_0603_RESC1608X55N       -24.5mm       98.75mm       -24.5mm       98.75mm       -23.7mm       98.75mm  T        180.00 47             
J1         SIP5_PGM_TOP        -9.4249mm    100.2501mm    -14.4999mm    100.2501mm    -14.4999mm    100.2501mm  T        360.00 (OPT) CON PROGRAM
C16        SMD_1210_CAPC3225X279N       -2.75mm      113.55mm       -2.75mm      113.55mm       -4.25mm      113.55mm  T          0.00 220uF          
C8P_3      SMD_1210_CAPC3225X279N      -47.55mm       111.2mm      -47.55mm       111.2mm      -46.05mm       111.2mm  T        180.00 220uF          
C8P_2      SMD_1210_CAPC3225X279N      -63.45mm       111.2mm      -63.45mm       111.2mm      -61.95mm       111.2mm  T        180.00 220uF          
C8P_1      SMD_1210_CAPC3225X279N      -79.45mm       111.2mm      -79.45mm       111.2mm      -77.95mm       111.2mm  T        180.00 220uF          
Y1         SMD_HC49_XTAL1140X480X420N    -21.6499mm       123.7mm    -21.6499mm       123.7mm    -21.6499mm      128.35mm  T        270.00 Q4.000 MHz HC-49SM SMD
J4         PTH_CON_PCI-E         -65.7mm      126.95mm       -69.9mm       124.2mm       -69.9mm       124.2mm  T          0.00 WURTH 649 006 295 22
U7         SMD_SOIC127P602X173-8N     -4.4999mm    118.9501mm     -4.4999mm    118.9501mm     -1.6999mm    117.0451mm  T        180.00 BD33KA5WF      
U6         SMD_SOIC127P602X173-8N     -3.4618mm     94.7501mm     -3.4618mm     94.7501mm     -5.3668mm     91.9501mm  T         90.00 BD18KA5WF      
U5         SMD_TO229P991X239-4AN_DPAK    -36.2999mm    119.7645mm    -35.3999mm    119.7645mm    -39.5499mm    122.0545mm  T        360.00 L78M05CDT-TR   
U4         SMD_TO254P1524X483-3_4N_D2PAK       -35.6mm     119.765mm      -33.75mm     119.765mm       -40.1mm     122.305mm  T        360.00 (OPT) L7805CD2T-TR
U3         SMD_SOT26_SOT95P285X140-5N_-_DLV        -4.5mm      118.95mm        -4.5mm      118.95mm        -5.8mm       119.9mm  T        360.00 (OPT)BU33TD3WG-TR
U2         SMD_SOIC127P602X173-8N    -36.1499mm    119.7645mm    -36.1499mm    119.7645mm    -38.0549mm    116.9645mm  T         90.00 (OPT) LM7805   
U1P_3      SMD_DFN16166SON50P161X161X60-9N_-_LTC4449         -48mm      114.45mm         -48mm      114.45mm       -49.4mm     115.125mm  T        360.00 LTC 4449       
U1P_2      SMD_DFN16166SON50P161X161X60-9N_-_LTC4449       -63.9mm      114.45mm       -63.9mm      114.45mm       -65.3mm     115.125mm  T        360.00 LTC 4449       
U1P_1      SMD_DFN16166SON50P161X161X60-9N_-_LTC4449       -79.9mm    114.4502mm       -79.9mm    114.4502mm       -81.3mm    115.1252mm  T        360.00 LTC 4449       
R30        SMD_0603_RESC1608X55N          -2mm        99.5mm          -2mm        99.5mm        -1.2mm        99.5mm  T        180.00 0              
R29        SMD_0603_RESC1608X55N       -7.15mm      91.375mm       -7.15mm      91.375mm       -7.15mm      90.575mm  T         90.00 20             
R28        SMD_1206_RESC3216X180N         -46mm       128.5mm         -46mm       128.5mm       -44.5mm       128.5mm  T        180.00 100            
R27        SMD_0603_RESC1608X55N        -7.9mm        97.7mm        -7.9mm        97.7mm        -8.7mm        97.7mm  T        360.00 (OPT)0         
R26        SMD_1206_RESC3216X180N    -32.4252mm    112.2999mm    -32.4252mm    112.2999mm    -33.9252mm    112.2999mm  T        360.00 2              
R23        SMD_0603_RESC1608X55N      -10.45mm      116.85mm      -10.45mm      116.85mm       -9.65mm      116.85mm  T        180.00 10k            
Q3P_3      SMD_SON127P615X520X100-8N      -53.55mm      105.95mm      -53.55mm      105.95mm       -50.8mm     104.045mm  T        180.00 AP1RA03GMT-3   
Q3P_2      SMD_SON127P615X520X100-8N      -69.45mm      105.95mm      -69.45mm      105.95mm       -66.7mm     104.045mm  T        180.00 AP1RA03GMT-3   
Q3P_1      SMD_SON127P615X520X100-8N      -85.45mm      105.95mm      -85.45mm      105.95mm       -82.7mm     104.045mm  T        180.00 AP1RA03GMT-3   
Q2P_3      SMD_SON127P615X520X100-8N      -53.55mm    112.1948mm      -53.55mm    112.1948mm       -50.8mm    110.2898mm  T        180.00 AP1RA03GMT-3   
Q2P_2      SMD_SON127P615X520X100-8N      -69.45mm    112.1948mm      -69.45mm    112.1948mm       -66.7mm    110.2898mm  T        180.00 AP1RA03GMT-3   
Q2P_1      SMD_SON127P615X520X100-8N      -85.45mm    112.1948mm      -85.45mm    112.1948mm       -82.7mm    110.2898mm  T        180.00 AP1RA03GMT-3   
Q1         SMD_SOT23_SOT95P240X120-3N      -21.55mm       94.05mm      -21.55mm       94.05mm       -22.7mm          95mm  T        360.00 BSS138         
Q1P_3      SMD_SON127P615X520X100-8N       -53.8mm    118.9498mm       -53.8mm    118.9498mm     -55.705mm    116.1998mm  T         90.00 AP1RA03GMT-3   
Q1P_2      SMD_SON127P615X520X100-8N       -69.7mm    118.9498mm       -69.7mm    118.9498mm     -71.605mm    116.1998mm  T         90.00 AP1RA03GMT-3   
